Date,Price,Open,High,Low,Vol.,Change %
"Apr 23, 2019",15.92,15.94,15.94,15.92,0.09K,0.00%
"Apr 22, 2019",15.92,15.94,15.94,15.91,0.48K,0.00%
"Apr 18, 2019",15.92,15.95,15.96,15.92,0.12K,0.00%
"Apr 17, 2019",15.92,15.91,15.96,15.91,0.27K,-0.19%
"Apr 16, 2019",15.95,15.92,15.95,15.9,0.09K,0.38%
"Apr 15, 2019",15.89,15.92,15.94,15.89,0.17K,-0.19%
"Apr 12, 2019",15.92,15.9,15.94,15.86,0.07K,0.06%
"Apr 11, 2019",15.91,15.91,15.94,15.88,0.11K,-0.38%
"Apr 10, 2019",15.97,15.94,15.99,15.87,0.11K,0.13%
"Apr 09, 2019",15.95,15.87,15.96,15.83,0.24K,0.57%
"Apr 08, 2019",15.86,15.89,15.89,15.82,0.08K,0.06%
"Apr 05, 2019",15.85,15.84,15.88,15.82,0.10K,0.25%
"Apr 04, 2019",15.81,15.81,15.93,15.8,0.54K,0.06%
"Apr 03, 2019",15.8,15.81,15.96,15.75,0.46K,4.91%
"Apr 02, 2019",15.06,15.07,15.07,15.06,0.02K,0.00%
"Apr 01, 2019",15.06,15.07,15.07,15.07,0.00K,0.00%
"Mar 29, 2019",15.06,15.05,15.08,15.05,0.08K,0.00%
"Mar 28, 2019",15.06,15.07,15.07,15.06,0.08K,-0.13%
"Mar 27, 2019",15.08,15.07,15.09,15.06,0.34K,0.13%
"Mar 26, 2019",15.06,15.06,15.07,15.05,0.08K,0.07%
"Mar 25, 2019",15.05,15.05,15.06,15.04,0.05K,0.13%
"Mar 22, 2019",15.03,15.04,15.04,15.02,0.02K,0.00%
"Mar 21, 2019",15.03,15.02,15.06,15.02,0.18K,0.60%
"Mar 20, 2019",14.94,14.93,15.01,14.92,0.31K,0.07%
"Mar 19, 2019",14.93,14.9,14.93,14.9,0.13K,0.07%
"Mar 18, 2019",14.92,14.94,14.94,14.92,0.19K,-0.13%
"Mar 15, 2019",14.94,14.95,14.95,14.93,0.10K,-0.07%
"Mar 14, 2019",14.95,14.91,14.97,14.89,0.25K,0.27%
"Mar 13, 2019",14.91,14.95,14.95,14.88,0.12K,-0.07%
"Mar 12, 2019",14.92,14.94,14.96,14.91,0.36K,-0.07%
"Mar 11, 2019",14.93,14.98,14.98,14.91,0.14K,-0.27%
"Mar 08, 2019",14.97,15.04,15.1,14.95,0.35K,-0.80%
"Mar 07, 2019",15.09,15.17,15.2,15.06,0.25K,-0.66%
"Mar 06, 2019",15.19,15.14,15.21,15.11,0.17K,0.46%
"Mar 05, 2019",15.12,15.08,15.13,15.06,0.22K,-0.07%
"Mar 04, 2019",15.13,15.21,15.22,15.05,0.34K,-0.46%
"Mar 01, 2019",15.2,15.24,15.24,15.14,0.19K,-0.26%
"Feb 28, 2019",15.24,15.27,15.45,15.21,0.66K,-0.46%
"Feb 27, 2019",15.31,15.25,15.47,15.25,0.97K,9.83%
"Feb 26, 2019",13.94,13.95,13.95,13.94,0.24K,-0.07%
"Feb 25, 2019",13.95,13.95,13.95,13.94,0.06K,0.00%
"Feb 22, 2019",13.95,13.93,13.95,13.93,0.13K,-0.36%
"Feb 21, 2019",14,13.99,14.02,13.94,0.24K,-0.07%
"Feb 20, 2019",14.01,14,14.01,13.98,0.21K,0.21%
"Feb 19, 2019",13.98,13.99,14,13.98,0.18K,0.07%
"Feb 15, 2019",13.97,13.99,13.99,13.96,0.13K,-0.07%
"Feb 14, 2019",13.98,14,14,13.97,0.15K,-0.21%
"Feb 13, 2019",14.01,14.01,14.02,13.97,0.22K,0.07%
"Feb 12, 2019",14,13.99,14.02,13.98,0.19K,0.07%
"Feb 11, 2019",13.99,13.98,13.99,13.96,0.10K,0.07%
"Feb 08, 2019",13.98,13.99,14,13.96,0.19K,0.00%
"Feb 07, 2019",13.98,13.91,13.98,13.9,0.31K,0.29%
"Feb 06, 2019",13.94,13.93,13.97,13.9,0.19K,0.07%
"Feb 05, 2019",13.93,13.94,13.97,13.91,0.12K,-0.07%
"Feb 04, 2019",13.94,14.03,14.06,13.94,0.21K,-0.64%
"Feb 01, 2019",14.03,14.05,14.09,14.02,0.13K,0.07%
"Jan 31, 2019",14.02,14.05,14.05,13.94,0.29K,-0.07%
"Jan 30, 2019",14.03,14.1,14.1,13.99,0.19K,0.36%
"Jan 29, 2019",13.98,13.97,14,13.97,0.16K,0.00%
"Jan 28, 2019",13.98,13.99,13.99,13.98,0.09K,0.00%
"Jan 25, 2019",13.98,14,14,13.98,0.11K,0.00%
"Jan 24, 2019",13.98,13.99,13.99,13.97,0.08K,0.00%
"Jan 23, 2019",13.98,14,14,13.98,0.11K,-0.07%
"Jan 22, 2019",13.99,13.99,13.99,13.99,0.22K,0.00%
"Jan 18, 2019",13.99,13.99,14.01,13.99,0,-0.07%
"Jan 17, 2019",14,14,14.02,13.99,0.27K,-0.43%
"Jan 16, 2019",14.06,14.06,14.06,13.99,0.16K,0.07%
"Jan 15, 2019",14.05,14.04,14.08,14.04,0.18K,-0.14%
"Jan 14, 2019",14.07,14.07,14.08,14.04,0.33K,0.00%
"Jan 11, 2019",14.07,14.08,14.08,14.06,0.17K,-0.07%
"Jan 10, 2019",14.08,14.07,14.08,14.03,0.30K,0.21%
"Jan 09, 2019",14.05,14.06,14.1,14.03,0.20K,-0.21%
"Jan 08, 2019",14.08,14.18,14.18,14.07,0.35K,-0.42%
"Jan 07, 2019",14.14,14.16,14.26,14.12,0.35K,-0.77%
"Jan 04, 2019",14.25,14.32,14.33,14.22,0.22K,-0.49%
"Jan 03, 2019",14.32,14.3,14.39,14.27,0.31K,3.69%
"Jan 02, 2019",13.81,13.82,13.83,13.81,0.12K,-0.14%
"Dec 31, 2018",13.83,13.81,13.83,13.81,0.10K,0.00%
"Dec 28, 2018",13.83,13.8,13.83,13.8,0.05K,-0.07%
"Dec 27, 2018",13.84,13.82,13.84,13.8,0.09K,0.00%
"Dec 26, 2018",13.84,13.82,13.85,13.81,0.30K,0.07%
